,index,number_of_tweets_x,tweets,description_x,username,name_x,tag,accessible,author_id,public_metrics_x,source,public_metrics_y,description,public_metrics,URL_bio,URL_bio_count,Curse_bio,Person_bio,Polarity_bio,PolarityPos_bio,PolarityNeg_bio,Subjectivity_bio,Hashtags_bio,Mention_bio,Length_bio,Words_bio,followers_count,following_count,tweet_count,listed_count,number_of_tweets_y,rt_to_notRT,rt_to_numOfTweets,include_to_notInclude,include_to_numOfTweets,URL_tweet,URL_tweet_count,Curse_tweet,Person_tweet,Polarity_tweet,PolarityPos_tweet,PolarityNeg_tweet,Subjectivity_tweet,Hashtags_tweet,Mention_tweet,Length_tweet,Words_tweet,commercial_tweet,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,0,3,['If you don’t have T1D then just shut the fucj up. Forever.'],29 | they/them enby | madly damaged | pan + polyam | t1D | all around weirdo | NSFW 18+ only | ACAB,astralpariah,Vi the Lich King ❄️ [ominous wooshing],True,True,1100578239624433664,"{'retweet_count': 116, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"{'followers_count': 1676, 'following_count': 3219, 'tweet_count': 58289, 'listed_count': 5}",29 | they/them enby | madly damaged | pan + polyam | t1D | all around weirdo | NSFW 18+ only | ACAB,"{'followers_count': 1676, 'following_count': 3219, 'tweet_count': 58289, 'listed_count': 5}",0,0,0,0,-0.3125,0,1,1.0,0,0,99,23,1676,3219,58289,5,92.0,1.0444444444444445,0.5108695652173914,0.09523809523809523,0.08695652173913043,1.0,26.0,1.0,1.0,-0.030580268641016303,0.0,1.0,0.5541397958220388,2.0,74.0,8050.0,1261.0,0.0,1.6309757842036527,9.29754079704575,12.852963057928932,-20.97761931585926,-8.704987009990099,-5.442463280944961,0.49454612594011177,-8.364024216249641,-0.44717085922371846,-3.457021272516601,0.00014887366134999142,0.00014881413557173913,0.9986605606494562,0.000148813720974354,0.00014882385046256324,0.00014885055534171954,0.00014882135619991287,0.00014881491708597624,0.00014881531145930288,0.00014881184209803472,0.13256718945225449,0.35054506858019285,0.1397586980801457,0.41136210478910373,0.3741711533091581,0.3147561165241436,0.2709293841163678,0.3171153973251271,0.2432131461847901,0.44564539097329586
1,1,3,"['Understanding Type 2 Diabetes and How to cure it - Vanguard - Reverse Diabetes Naturally - Natural Cure for Diabetes click here - https://t.co/yTxFrShU0l #reversediabetes #diabetes #diabetescure', 'CinnaChroma Reviews - Safe Ingredients? Where to Buy? - https://t.co/jibUASsX9s - https://t.co/jibUASsX9s - Reverse Diabetes Naturally - Natural Cure for Diabetes click here - https://t.co/yTxFrShU0l #reversediabetes #diabetes #diabetescure', ""Best Blood Sugar Pills (Top Supplements for Blood Sugar Support) - Islands' Sounder - Reverse Diabetes Naturally - Natural Cure for Diabetes click here - https://t.co/oEgU0oQyfF #reversediabetes #diabetes #diabetescure""]",,LanchasterDaisy,Daisy Lanchaster,False,True,868403933093306368,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",IFTTT,"{'followers_count': 13, 'following_count': 0, 'tweet_count': 6045, 'listed_count': 0}",,"{'followers_count': 13, 'following_count': 0, 'tweet_count': 6045, 'listed_count': 0}",0,0,0,0,0.0,0,0,0.0,0,0,3,1,13,0,6045,0,12.0,0.0,0.0,1000.0,1.0,1.0,20.0,0.0,0.0,0.15700000000000006,1.0,0.0,0.4600000000000001,36.0,0.0,2798.0,348.0,1.0,0.16708736183840503,1.3789826740383324,5.2028555833413845,-8.859371344808473,16.4064714982189,-0.5321679122387748,21.45328860703644,-3.8066625282289985,-8.638533698452038,-0.7392449169361707,0.09418437416676581,0.0003831457602496944,0.0003831963999401058,0.00038314557644089224,0.8282889019296091,0.074844650300386,0.00038314640941697613,0.00038314859819055204,0.0003831473729296418,0.0003831434860712748,0.15946623602652668,0.8285555086550215,0.0,0.0,0.0,0.35529389976147807,0.2866137364520358,0.2822854929220322,0.0,0.0
2,2,2,"[""You'll Realize The Shocking Reason Why Everything You Know About Managing Diabetes Is DEAD WRONG. CLICK HERE &gt;&gt;&gt;&gt; https://t.co/HEk9LiNf85"", 'Reverse all traces of diabetes, naturally bringing your blood sugar levels down to non-diabetic levels. CLICK HERE &gt; https://t.co/HEk9LiNf85']",Can Completely And Permanently Reverse Both Type I And Type II Diabetes In As Little As A Few Weeks From Today. #diabetes  #StopDiabetes,fixmydiabetes,Fix My Diabetes,False,True,2886242567,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",IFTTT,"{'followers_count': 1003, 'following_count': 1767, 'tweet_count': 49690, 'listed_count': 12}",Can Completely And Permanently Reverse Both Type I And Type II Diabetes In As Little As A Few Weeks From Today. #diabetes  #StopDiabetes,"{'followers_count': 1003, 'following_count': 1767, 'tweet_count': 49690, 'listed_count': 12}",0,0,0,1,-0.09583333333333333,0,1,0.3333333333333333,2,0,136,23,1003,1767,49690,12,21.0,0.5,0.3333333333333333,2.0,0.6666666666666666,1.0,21.0,0.0,0.0,-0.14319444444444446,0.0,1.0,0.5515277777777775,0.0,0.0,2912.0,379.0,0.0,0.19436127095441538,1.4540233068496573,3.258387887247743,-6.91019580300466,5.299935077735076,-1.9063933133713542,6.002891796876028,-2.6820964917162957,-4.442418253319789,-0.03426937356132227,0.0003649910590854069,0.0003649642354674808,0.0003649931800497802,0.00036496489503101817,0.9967152208534976,0.00036500468252540993,0.00036496504455748804,0.00036496597145863123,0.00036496571902724614,0.00036496435929991546,0.0,0.8727795746516565,0.0,0.0,0.0,0.48811455015280353,0.0,0.0,0.0,0.0
3,3,1,['Remember the early 90s when the government’s goal was to give us all diabetes? https://t.co/j6Wn21TuyZ'],Disciple • Family man • Pastor • 📘🔆Bright Hope for Tomorrow: How Anticipating Jesus’ Return Gives Strength for Today🔆 Pre-order 👇🏻• https://t.co/bcuaUo8reJ,RevChrisDavis,Chris Davis,False,True,44649562,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",Twitter for iPhone,"{'followers_count': 1730, 'following_count': 1102, 'tweet_count': 12683, 'listed_count': 16}",Disciple • Family man • Pastor • 📘🔆Bright Hope for Tomorrow: How Anticipating Jesus’ Return Gives Strength for Today🔆 Pre-order 👇🏻• https://t.co/bcuaUo8reJ,"{'followers_count': 1730, 'following_count': 1102, 'tweet_count': 12683, 'listed_count': 16}",1,1,0,0,0.0,0,0,0.0,0,0,155,22,1730,1102,12683,16,49.0,0.11363636363636363,0.10204081632653061,0.0,0.0,1.0,13.0,0.0,1.0,0.176383913021844,1.0,0.0,0.4674241180275664,8.0,41.0,5241.0,771.0,0.0,2.2271391740467408,4.477336437498826,5.829352731506121,-10.498264877820645,-4.995662442271399,-4.296671222599484,-1.416947716604483,-4.859055782547626,-0.5196434420192786,-0.39128902862040127,0.0002755351097221455,0.0002754867155429653,0.9975205117293519,0.00027548656050200665,0.00027548859789372466,0.00027553603846009524,0.00027549476409237286,0.000275486951282978,0.0002754872117348611,0.0002754863214169985,0.3343083802428825,0.0,0.0,0.49082608222669827,0.2951266133499233,0.39248995145783416,0.0,0.4134741720529264,0.36224595816942545,0.32248497459209524
4,4,1,['https://t.co/b1Nq7I0DfI \n#Together We are Driving Change\n#Impulsando El Cambio\n#drivingchange\n#novonordisk\n#EducamosInformamosEmpoderamosEnDiabetes\n#EntreTodosPesaMenos'],,AlexZapataV72,Alexander Zapata Vélez,False,True,1327015608383377419,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad,"{'followers_count': 2, 'following_count': 53, 'tweet_count': 245, 'listed_count': 0}",,"{'followers_count': 2, 'following_count': 53, 'tweet_count': 245, 'listed_count': 0}",0,0,0,0,0.0,0,0,0.0,0,0,3,1,2,53,245,0,3.0,0.0,0.0,0.5,0.3333333333333333,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,271.0,21.0,1.0,0.007000353798847274,0.07960258430664457,0.49690120769389334,0.3345462430531843,0.014189357802161623,0.28861499316996875,-0.021289491831742956,-0.30043064481239684,-0.03504527928905846,0.02885923240159573,0.009090971896857928,0.009090996031159022,0.009092688941519699,0.00909143595955107,0.009091023917760543,0.9181787526773999,0.009091043859124438,0.009091028916006131,0.009091018125263257,0.009091039675358023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,5,2,"['#Berbal #Catsclaw, The Herb That Cures Type I #Diabetes In Vivo and Vitro, Scientists Found https://t.co/Ss4zWHrV6Y']",Women's health researcher and Healthy Food Expert,_Woman_health,Chantel Martiromo,False,True,148418872,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App,"{'followers_count': 387072, 'following_count': 294414, 'tweet_count': 213137, 'listed_count': 2916}",Women's health researcher and Healthy Food Expert,"{'followers_count': 387072, 'following_count': 294414, 'tweet_count': 213137, 'listed_count': 2916}",0,0,0,0,0.5,1,0,0.5,0,0,49,7,387072,294414,213137,2916,207.0,0.11290322580645161,0.10144927536231885,0.04020100502512563,0.03864734299516908,1.0,275.0,0.0,1.0,0.2254918032786887,1.0,0.0,0.4068522188194317,304.0,14.0,22505.0,2280.0,1.0,1.474624333163966,7.786297212441641,61.30772117299402,-11.38515939469377,5.083977127804112,-19.314515197371673,20.433723103776,60.75506871050173,0.18816515878107307,4.7153479555634545,0.16387216933199153,6.337270826899489e-05,6.338253194165377e-05,6.337519710338692e-05,6.338117727879208e-05,0.8356208307176014,6.337227886992698e-05,6.337208272714844e-05,6.33721637269122e-05,6.337181049021257e-05,0.0,0.406198209032659,0.4810475763277246,0.0,0.0,0.43918851944006304,0.5499527676460086,0.3121414749776932,0.10406412271850934,0.0
6,6,1,"[""Darling (don't) leave a light on.\nExposure to light during nighttime sleep can harm heart health.\nOn @ABCaustralia Overnights #health and #fitness https://t.co/cYURrEo63R #sleep #SleepAwarenessWeek #WorldSleepDay #diabetes #Heart #lifestyle""]",Professor of Physiology @unimelb PhD FACSM CSCS Passionate researcher & mentor in muscle biology. Health presenter on Australia's ABC Radio @abcovernights,GordonSLynch,Gordon Lynch,False,True,2802698774,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 11, 'quote_count': 0}",Twitter Web App,"{'followers_count': 2392, 'following_count': 1176, 'tweet_count': 713, 'listed_count': 25}",Professor of Physiology @unimelb PhD FACSM CSCS Passionate researcher & mentor in muscle biology. Health presenter on Australia's ABC Radio @abcovernights,"{'followers_count': 2392, 'following_count': 1176, 'tweet_count': 713, 'listed_count': 25}",0,0,0,0,-0.05,0,1,0.8500000000000001,0,2,154,21,2392,1176,713,25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45499999999999996,1.0,0.0,0.62,0.0,4.0,284.0,35.0,0.0,0.012346479369242547,0.09153506793207188,0.22445720976524886,-0.4091136080772881,-0.2028482097287762,-0.2163889237905388,-0.036061541869955416,-0.20838529029678138,-0.010989591510846969,-0.04237451031680395,0.005884251971934345,0.005882414083294497,0.947053786756611,0.005882450843047218,0.005883102662400633,0.005883615698514125,0.005882788106317781,0.005882644625256725,0.005882425132490983,0.005882520120132743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2,"['What are the benefits of drinking coffee?\n\n-Diabetes prevention\n-Prevention of gout attacks\n-Reduced risk of cirrhosis and hepatitis C\n-antioxidant effect\n-Awakening effect', 'Why is diabetes so scary?\n\nBecause\n-Blindness\n-Amputation of the foot\n-If you have renal failure, you will have to undergo dialysis, which requires frequent sticking of a very thick and painful needle into your arm.']","Full-time investor.
Good at discovering 10x stocks,
High-Growth stocks with High Barriers to entry.
Forex, commodities.
Not advice.  At your own risk.",alotmoon,Already On the Moon,False,True,1407536553417609221,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,"{'followers_count': 81, 'following_count': 74, 'tweet_count': 1797, 'listed_count': 3}","Full-time investor.
Good at discovering 10x stocks,
High-Growth stocks with High Barriers to entry.
Forex, commodities.
Not advice.  At your own risk.","{'followers_count': 81, 'following_count': 74, 'tweet_count': 1797, 'listed_count': 3}",0,0,0,0,0.48666666666666664,1,0,0.7133333333333334,0,0,150,22,81,74,1797,3,30.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.06180469289164941,1.0,0.0,0.41395445134575554,55.0,0.0,6040.0,951.0,0.0,1.6466861060007294,4.626177499164367,4.466152688734489,-7.904948115627439,-3.65160322865709,-0.140728692376028,-0.24714822752772223,-0.6433458564297245,-0.22301895452345075,0.450864612336114,0.021709896484772565,0.3499634279279328,0.5777652732693036,0.00015848126621110004,0.00015848506612498628,0.04961051174868085,0.00015848180349292638,0.00015848160274057135,0.00015848063588956793,0.00015848019485103015,0.0,0.0,0.0,0.40393698079336576,0.0,0.3898445021465832,0.0,0.8275603782767894,0.0,0.0
8,8,3,"['2022 Diabetes Scholars Applications are officially OPEN! High school seniors with #T1D headed to college or community colleges can apply for any of the scholarships from now through March 27th. Learn more about this program from @beyondtype1 👉 https://t.co/caXDZi9Tr7 https://t.co/zCP4nqRLkH', 'Dr. Nancy Allen and Dr. Ana Sanchez-Birkhead join The Huddle to share their expertise on identifying gaps in your diabetes services and addressing them by including new team members, like peer facilitators. Listen now at https://t.co/nCZl4kQ2pY. https://t.co/MnnFHzFXwd', '2022 Diabetes Scholars Applications are officially OPEN! High school seniors with #T1D headed to college or community colleges can apply for any of the scholarships from now through March 27th. Learn more about this program from @beyondtype1 👉 https://t.co/caXDZi9Tr7 https://t.co/zCP4nqRLkH']","The Association of Diabetes Care & Education Specialists is an interdisciplinary membership org dedicated to improved care through education, mgmt & support.",ADCESdiabetes,ADCES,False,True,44195577,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Sprout Social,"{'followers_count': 13249, 'following_count': 1635, 'tweet_count': 8455, 'listed_count': 0}","The Association of Diabetes Care & Education Specialists is an interdisciplinary membership org dedicated to improved care through education, mgmt & support.","{'followers_count': 13249, 'following_count': 1635, 'tweet_count': 8455, 'listed_count': 0}",0,0,0,0,0.0,0,0,0.0,0,0,157,22,13249,1635,8455,0,9.0,0.125,0.1111111111111111,2.0,0.6666666666666666,1.0,13.0,0.0,0.0,0.32747668997668994,1.0,0.0,0.450990675990676,2.0,2.0,1963.0,288.0,0.0,0.2457279515068069,2.218963673724148,4.8770345697143584,-3.277547586395483,2.5778848091789066,-1.1975180342088159,3.9809925895069425,0.6478063453304489,-1.4606934418424924,0.5565333152222101,0.0005989081646990282,0.0005988122725009301,0.4133233075252935,0.0005988121478932623,0.0005988185703980067,0.5818860673940198,0.0005988284518359432,0.0005988192458538984,0.0005988146117905775,0.0005988116157150268,0.0,0.6509817689451812,0.21023660217962176,0.0,0.0,0.3964071892992761,0.4456650173269887,0.32995469910148784,0.17433489188880968,0.192365751158351
9,9,8,"[""🗳️ It's the weekend - which means it's time for our #diabeteschat poll.\n\nInspired by #TAD2022 yesterday - connecting over 100+ people with diabetes +HCPs in one place.\n\nQ: Have you ever met any diabuddies in person? 💙 Feel free to share your stories &amp; pics in the comments below.""]",#T1D. Hosts weekly @diabetes_chat spaces: https://t.co/wGWRXMYvtD Welsh 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Harry (9.4.20) 💙 SEN Teacher.,welshy_89,Tom Dean,True,True,3344492871,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for Android,"{'followers_count': 1639, 'following_count': 2682, 'tweet_count': 1993, 'listed_count': 9}",#T1D. Hosts weekly @diabetes_chat spaces: https://t.co/wGWRXMYvtD Welsh 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Harry (9.4.20) 💙 SEN Teacher.,"{'followers_count': 1639, 'following_count': 2682, 'tweet_count': 1993, 'listed_count': 9}",1,1,0,0,0.0,0,0,0.0,1,1,109,13,1639,2682,1993,9,127.0,0.11403508771929824,0.10236220472440945,1.0158730158730158,0.5039370078740157,1.0,57.0,1.0,1.0,0.34868664427733187,1.0,0.0,0.5744953808269025,54.0,263.0,19629.0,2962.0,1.0,2.8386232295207536,17.534748763866318,26.211441117074735,-39.38708084054124,-6.327061433541006,-17.573849087403286,11.749605057503933,-13.055974268481854,-8.134194454364991,-1.932110431056468,6.528525697387628e-05,6.527630072996089e-05,0.9994124769812229,6.527544752791536e-05,6.527729015589906e-05,6.529704177380056e-05,6.528290948933998e-05,6.527701314953912e-05,6.527618076300612e-05,6.527557821391185e-05,0.49132972929206725,0.513432145572359,0.0,0.26811836264361494,0.2804994957173126,0.3063814159942395,0.28445887443739554,0.28573755671504225,0.2777728272427058,0.10404319938215657
